CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.00%     15.04MiB / 2GiB       0.73%     1.42MB / 408kB    0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     0.00%     14.91MiB / 2GiB       0.73%     1.42MB / 407kB    0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    0.81%     174.1MiB / 7.761GiB   2.19%     3.33MB / 2.69MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    0.78%     155.5MiB / 7.761GiB   1.96%     3.43MB / 3.97MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.05%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            103.20%   528.5MiB / 7.761GiB   6.65%     667kB / 433kB     4.78MB / 2.54MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            88.18%    547.9MiB / 7.761GiB   6.89%     667kB / 443kB     26.2MB / 2.54MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     4.01kB / 2.31kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     4.01kB / 2.31kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.57kB / 2.59kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.77kB / 2.87kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.15%     5.98MiB / 2GiB        0.29%     4.86kB / 2.89kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     6.023MiB / 2GiB       0.29%     4.95kB / 2.99kB   0B / 0B           8
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.00%     15.04MiB / 2GiB       0.73%     1.42MB / 408kB    0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     0.00%     14.91MiB / 2GiB       0.73%     1.42MB / 407kB    0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    0.95%     176.2MiB / 7.761GiB   2.22%     4.78MB / 2.84MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    1.22%     157.9MiB / 7.761GiB   1.99%     4.85MB / 4.12MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.03%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            96.64%    538.6MiB / 7.761GiB   6.78%     817kB / 1.89MB    4.78MB / 2.56MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            95.99%    569.3MiB / 7.761GiB   7.16%     815kB / 1.86MB    26.2MB / 2.62MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     4.06kB / 2.36kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     4.01kB / 2.31kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.64kB / 2.66kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.77kB / 2.87kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.98MiB / 2GiB        0.29%     4.92kB / 2.89kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     6.023MiB / 2GiB       0.29%     5.02kB / 2.99kB   0B / 0B           8
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.71%     15.86MiB / 2GiB       0.77%     1.51MB / 502kB    0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     2.44%     19.03MiB / 2GiB       0.93%     2.16MB / 727kB    0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    53.73%    174.9MiB / 7.761GiB   2.20%     12.7MB / 4.79MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    13.14%    158.8MiB / 7.761GiB   2.00%     9.78MB / 4.67MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.04%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            62.70%    533.5MiB / 7.761GiB   6.71%     1.37MB / 9.57MB   4.78MB / 2.62MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            62.82%    570.1MiB / 7.761GiB   7.17%     928kB / 4.4MB     26.2MB / 2.62MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
311c54469bf3   orderer0.example.com   0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
a10b4c8e3b3d   ca.org1.example.com    0.00%     8.582MiB / 7.761GiB   0.11%     3.31kB / 5.89kB   631kB / 446kB    7
38cb3dc19b01   ca.org2.example.com    0.00%     9.832MiB / 7.761GiB   0.12%     3.64kB / 5.91kB   19.5MB / 446kB   8
