CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.57kB / 2.77kB   0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.45kB / 2.57kB   0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.16MiB / 2GiB        0.30%     5.14kB / 3.17kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     8.012MiB / 2GiB       0.39%     5.02kB / 3.08kB   0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     10.65MiB / 2GiB       0.52%     1.49MB / 494kB    0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     10.73MiB / 2GiB       0.52%     1.5MB / 505kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    2.84%     207.9MiB / 7.761GiB   2.62%     10.1MB / 4.88MB   0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    3.14%     185.3MiB / 7.761GiB   2.33%     10.2MB / 3.63MB   0B / 3MB        14
938ea455601a   orderer0.example.com                      0.04%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.25MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            87.79%    489.5MiB / 7.761GiB   6.16%     1.1MB / 6.01MB    0B / 4.02MB     41
3d5780825209   couchdb.peer0.org2.example.com            98.80%    479.2MiB / 7.761GiB   6.03%     1.11MB / 6.14MB   0B / 4.01MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.59kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.63kB / 2.69kB   0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.33kB / 2.53kB   0B / 0B         7
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.72kB / 2.92kB   0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.6kB / 2.72kB    0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.16MiB / 2GiB        0.30%     5.28kB / 3.24kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     8.012MiB / 2GiB       0.39%     5.2kB / 3.19kB    0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     56.18MiB / 2GiB       2.74%     8.69MB / 8.02MB   0B / 0B         8
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     42.92MiB / 2GiB       2.10%     8.69MB / 8.05MB   0B / 0B         8
6bb104f8ce95   peer0.org1.example.com                    0.78%     206.4MiB / 7.761GiB   2.60%     24.4MB / 28.9MB   0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    0.89%     197.2MiB / 7.761GiB   2.48%     24.4MB / 27.6MB   49.2kB / 3MB    14
938ea455601a   orderer0.example.com                      0.05%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.25MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            0.42%     218.4MiB / 7.761GiB   2.75%     1.57MB / 12.7MB   0B / 4.02MB     41
3d5780825209   couchdb.peer0.org2.example.com            0.52%     191.6MiB / 7.761GiB   2.41%     1.57MB / 12.7MB   0B / 4.01MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.66kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
